,subj,rel,obj,text
2124,AnalysisTrump,do,Kansas,"AnalysisTrump's doing comeback plans amid mockery from AnalysisTrump's own sideAnd in Kansas, young voters, who made up 14 per cent of the electorate, supported Democrat Laura Kelly for governor by 11 points, casting 11,000 net votes which bolstered Democrat Laura Kelly to a 15,000 vote victory over Democrat Laura Kelly's Republican opponent, the Center for Information and Research on Civic Learning and Engagement (CIRCLE) found."
2125,the Nets,reinstate,Brooklyn guard Kyrie Irving,It's unclear when the Nets will reinstate suspended Brooklyn guard Kyrie Irving.
2126,the Nets,suspend,Brooklyn guard Kyrie Irving,"(John Minchillo/The Associated Press)The fallout was massive: suspended Brooklyn guard Kyrie Irving was criticized by NBA commissioner Adam Silver and several anti-hate groups including the Anti-Defamation League, the Nets eventually suspended suspended Brooklyn guard Kyrie Irving and then Nike announced last Friday that Nike ""suspended"" Nike's relationship with suspended Brooklyn guard Kyrie Irving and cancelled Nike's plans to release suspended Brooklyn guard Kyrie Irving's next signature shoe."
2127,Nike,suspend,Nike,"(John Minchillo/The Associated Press)The fallout was massive: suspended Brooklyn guard Kyrie Irving was criticized by NBA commissioner Adam Silver and several anti-hate groups including the Anti-Defamation League, the Nets eventually suspended suspended Brooklyn guard Kyrie Irving and then Nike announced last Friday that Nike ""suspended"" Nike's relationship with suspended Brooklyn guard Kyrie Irving and cancelled Nike's plans to release suspended Brooklyn guard Kyrie Irving's next signature shoe."
2128,Nike,suspend,Brooklyn guard Kyrie Irving,Nike evidently also tried to get suspended Brooklyn guard Kyrie Irving to clarify or apologize.
2129,Kyrie Irving,be,an Instagram post,"suspended Brooklyn guard Kyrie Irving eventually made an Instagram post after the Nets announced the Nets's decision to suspend suspended Brooklyn guard Kyrie Irving, writing in part, ""To All Jewish families and Communities that are hurt and affected from suspended Brooklyn guard Kyrie Irving's post, suspended Brooklyn guard Kyrie Irving am deeply sorry to have caused All Jewish families and Communities that are hurt and affected from my post pain, and suspended Brooklyn guard Kyrie Irving apologize. """
2130,Jasmeet Kaur Bains,write,the Bakersfield Californian,"""It's an exciting night. . .  Jasmeet Kaur Bains, a family physician from Bakersfield'm encouraged by election returns and couldn't be more grateful for the support we've received across Kern County,"" Jasmeet Kaur Bains, a family physician from Bakersfield wrote in a text message to the Bakersfield Californian."
2131,Jasmeet Kaur Bains,work,Jasmeet Kaur Bains,"After college, Jasmeet Kaur Bains, a family physician from Bakersfield worked with Jasmeet Kaur Bains, a family physician from Bakersfield's father before pursuing Jasmeet Kaur Bains, a family physician from Bakersfield's career in medicine."
2132,Spokesman Eric Van Duyse,be,the BBC Spokesman,Spokesman Eric Van Duyse told the BBC Spokesman Eric Van Duyse was not aware of the authorities being in contact with a man who killed a police officer in the capital Brussels on Thursday since a man who killed a police officer in the capital Brussels on Thursday's release from prison four years ago.
2133,European Union,isolate,Italy,"Italy's Prime Minister Giorgia Meloni has warned it would not be ""intelligent"" for European Union to isolate Italy's."
2134,Thomas Culham,think,Thomas Culham,"""Thomas Culham, from Kingston think there's a lot of opportunity,"" Thomas Culham, from Kingston said, adding that Thomas Culham, from Kingston was not investing more than Thomas Culham, from Kingston could afford to lose, and also not investing in only one type of crypto."
2135,Russia,be,Nato,But such are the laws of war…Russia are fighting Nato.
2136,Russian TV,surovikin,Defence Minister Sergei Shoigu,"Russian TV showed Defence Minister Sergei Shoigu issuing the order, following consultations with the Russian Commander in Ukraine, General Surovikin, who had recommended the pull-back."
2137,the Kremlin,portray,President Putin,"the Kremlin used to portray President Putin as ""Mr Stability"" here in Russia."
2138,Irina,bury,Mariupol,"Her husband Ivan added: ""Irina and her baby were buried together in Mariupol in a cemetery."
2139,the House,lean,the Republicans,"the House is leaning towards the Republicans, according to projections from CBS News, the BBC's partner in the US."
2140,Dietmar Siersdorfer,power,Siemens turbines,"And Siemens turbines, which run on gas today, can be powered by hydrogen in the future, Dietmar Siersdorfer says."
2141,EU countries,focus,China,"Thus far, EU countries had primarily been focused on China and the U.."
2142,Crown Prince Mohammed bin Salman,respond,the 2018 G-20 summit,"Crown Prince Mohammed bin Salman, MbS for short responded to strong criticism from the West by high-fiving Vladimir Putin in front of the cameras at the 2018 G-20 summit."
2143,Vladimir Putin,lock,Vladimir Putin's adversaries,"Vladimir Putin was again hosting Vladimir Putin's global investment conference, and his global investment conference was once again held in the horribly pompous Ritz Carlton, where Vladimir Putin once locked up Vladimir Putin's adversaries and robbed his adversaries of his adversaries's power."
2144,Ukrainian troops,reclaim,southern Ukraine,"FRANCE 24's Luke Shrago reports: 02:56   10:32pm: Emmanuel Macron welcomes 'Kherson's return to Ukraine President Emmanuel Macron welcomed ""Kherson's return to Ukraine"", after Ukrainian troops reclaimed this important city in southern Ukraine."
2145,Kherson,write,ZelenskyUkrainian President Volodymyr Zelensky,"Kherson,"" ZelenskyUkrainian President Volodymyr Zelensky wrote on Telegram alongside a Ukraine flag emoji and amateur video footage that appeared to show Ukrainian troops gathering with Kherson's residents."
2146,the Ukrainian flag,hoist,Kherson,"Residents are hoisting the Ukrainian flag across Kherson, including the main square, with the images doing the rounds on social media."
2147,Italy,have,Italy's refusal,"France had never before allowed a rescue vessel carrying migrants from the Mediterranean to land on France's coast, but did so this time because Italy had Italy's refusal to accept the migrants access."
2148,AdvertisingMurad,think,AdvertisingMurad,"""Progress has been made on recognising survivors' right to reparations (. . . ) but AdvertisingMurad think it's time to put political weight and resources behind the words,"" AdvertisingMurad told FRANCE 24's Catherine Norris Trent."
2149,the Democrats,retain,the Senate,"The results are still uncertain, but if the Republicans have a slight lead in the House of Representatives, the Democrats could still retain the Senate."
2150,Florida,re,Republican Governor Ron DeSantis,"In Florida, Republican Governor Ron DeSantis was re-elected by a wide margin, confirming Republican Governor Ron DeSantis's status as a potential Republican candidate for the next presidential election in 2024. &gt;&gt;"
2151,Florida,re,Republican Governor Ron DeSantis,"In Florida, Republican Governor Ron DeSantis was re-elected by a wide margin, confirming Republican Governor Ron DeSantis's status as a potential Republican candidate for the next presidential election in 2024. &gt;&gt;"
2152,the Republican Party,achieve,the US midterm elections,"The results that the Republican Party achieved in the US midterm elections can be considered a victory, former US President Donald Trump said."
2153,former US President Donald Trump,write,former US President Donald Trump's Truth Social platform,""" former US President Donald Trump wrote on former US President Donald Trump's Truth Social platform."
2154,the Hungarian prime minister’s spokesman,be,Hungarian Prime Minister Viktor Orban,"""We are committed to strengthening bilateral trade and economic relations and will expand defense cooperation in new areas,"" the Hungarian prime minister’s spokesman Bertalan Havasi quoted Hungarian Prime Minister Viktor Orban as saying at the meeting with Turkish President Recep Tayyip Erdogan."
2155,the European Union’s sanctions,achieve,the European Union’s sanctions,"Budapest believes the European Union’s sanctions against Russia over the developments in Ukraine have failed to achieve the European Union’s sanctions against Russia over the developments in Ukraine's objectives, and are imperiling Europe’s economy, Hungarian Prime Minister Viktor Orban said at a meeting of leaders of the Organization of Turkic States (OTS) in SAMARKAND on Friday."
2156,Hungarian Prime Minister Viktor Orban,write,Facebook,"Hungarian Prime Minister Viktor Orban wrote on Facebook (a social media site banned in Russia since Facebook (a social media site banned in Russia since it is owned by Meta corporation deemed extremist by Russian authorities) is owned by Meta corporation deemed extremist by Russian authorities), adding that important agreements were achieved at the summit in SAMARKAND."
